Country,Authority,Date,Issued Fine?,Fine,Controller,QuotedArt,Type,Summary,Info
ITALY,Italian Data Protection Authority (Garante),2/13/20,Yes,4000,Comune di Urago,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The local council has published on its website information containing a person's personal data, including health information.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9285411
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2/11/20,Yes,3000,Vodafone Romania,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"Vodafone Romania had incorrectly processed personal data of an individual in order to process a complaint, which was subsequently sent to a wrong e-mail address. The reason for this was that there were insufficient security measures in place to prevent such erroneous data processing.",https://www.dataprotection.ro/?page=sanctiune_vodafone_februarie_2020&lang=ro
ITALY,Italian Data Protection Authority (Garante),2/6/20,Yes,20000,RTI - Reti Televisive Italiane s.p.a.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The television station broadcasted a documentary about prostitution in Switzerland, in which the persons interviewed were not made sufficiently anonymous.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9283121
SPAIN,Spanish Data Protection Authority (aepd),2/4/20,Yes,1500,Cafetería Nagasaki,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The AEPD found that the Nagasaki Cafetería did not comply with its obligations under the GDPR, as it placed its surveillance cameras in such a way as to monitor the public space outside its premises, which disproportionately affected pedestrians.",https://www.aepd.es/es/documento/ps-00427-2018.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/3/20,Yes,20000,"Iberia Lineas Aereas de Espana, S.A. Operadora Unipersonal","Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,"Iberia continued to send e-mails to the data subject, despite the data subject had requested the withdrawal of his consent and the erasure of his personal data and that the execution of these measures had already been confirmed to him.",https://www.aepd.es/es/documento/ps-00402-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/3/20,Yes,800,Automoción,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"An employee created a fake profile about a female colleague on an erotic portal, which contained, among other things, her contact details, a photo of her and information about her sexual nature. Based on the profile, the data subject received several phone calls from people who wanted to contact her regarding the information provided on the website. As the private person was found to have a personality disorder, the fine was reduced from initial EUR 1000 to EUR 800.",https://www.aepd.es/es/documento/ps-00292-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/3/20,Yes,5000,Queseria Artesenal Ameco S.L.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,The company processed personal data of customers without required consent.,https://www.aepd.es/es/documento/ps-00259-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/3/20,Yes,6670,Banco Bilbao Vizcaya Argentaria S.L.,"Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,"The company repeatedly sent advertising messages to a data subject, although the data subject had objected to the processing of his data.",https://www.aepd.es/es/documento/ps-00400-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/3/20,Yes,75000,"Vodafone España, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The data subject, a former customer of the company, continued to receive invoice notifications, although at that time there was neither a contractual relationship nor any payment overdue from the expired contractual relationship. As a reason for the incorrect mailings Vodafone indicated a technical error.",https://www.aepd.es/es/documento/ps-00278-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/3/20,Yes,50000,"Vodafone España, S.A.U.",Art. 5 GDPR,Non-compliance with general data processing principles,"The fine was preceded by a complaint from a data subject who argued that Vodafone España had sent invoices containing his personal data, such as name, identity card and address, to its neighbour.",https://www.aepd.es/es/documento/ps-00275-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/3/20,Yes,60000,"Vodafone España, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The fine was preceded by a complaint from the data subject, who argued that he had received an e-mail from Vodafone España, which contained the billing of a telephone line that the data subject had never requested, which led to his personal data being processed without his consent. As a result, the data subject's personal data were incorporated into the information systems of Vodafone España without Vodafone being able to show that the data subject had consented to the collection and subsequent processing of his personal data. The fine of 100,000 EUR was reduced to 60,000 EUR due to a voluntary payment.",https://www.aepd.es/es/documento/ps-00405-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/3/20,Yes,75000,"Vodafone España, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The fine preceded the complaint by the data subject, who argued that Vodafone España had signed a contract for the transfer of a telephone subscription with a third party without the data subject's knowledge or consent and that, as a result, he, the data subject, had received an e-mail from the third party for a purchase made by him.",https://www.aepd.es/es/documento/ps-00270-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/3/20,Yes,60000,Xfera Moviles S.A.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"According to the data protection authority, XFERA MOVILES has violated Article 6(1) of the GDPR, as the company has unlawfully processed data, including bank details, customer address and name of the data subjects.",https://www.aepd.es/es/documento/ps-00227-2019.pdf
ITALY,Italian Data Protection Authority (Garante),1/30/20,Yes,4000,Comune di Colledara,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Publication of documents relating to a public tender with personal data on a website,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9302897
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),1/24/20,Yes,1450,Accounting firm,"Art. 24 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"A printed customer list of an accounting firm, which also contained personal data, could be accessed by unauthorized persons.",https://www.naih.hu/files/NAIH-2020-1137-hatarozat.pdf
ITALY,Italian Data Protection Authority (Garante),1/23/20,Yes,30000,Sapienza Università di Roma,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The fine is based on the fact that, according to the data protection authority, the Sapienza Università made available online identification data of two people who had reported possible illegal behaviour to the university. This was due to the lack of adequate technical access control measures within the whisleblowing management system, which had not limited access to such data to authorized personnel only.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9269618
ITALY,Italian Data Protection Authority (Garante),1/23/20,Yes,30000,Azienda Ospedaliero Universitaria Integrata di Verona (Hospital),"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The fine was preceded by access to health data by unauthorised persons, allowing a trainee and a radiologist to gain access to the health data of their colleagues. The investigations revealed that the technical and organisational measures taken by the hospital to protect health data had proved to be insufficient to ensure adequate protection of patients' personal data, resulting in unlawful data processing. According to the data protection authority, the breach could have been avoided if the hospital had simply followed the guidelines for health records issued by the data protection authority in 2015, which stipulate that access to health records must be restricted only to health personnel involved in patient care.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9269629
ITALY,Italian Data Protection Authority (Garante),1/15/20,Yes,27800000,TIM (telecommunications operator),"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR, Art. 21 GDPR, Art. 32 GDPR",Insufficient legal basis for data processing,"Between January 2017 and 2019, the data protection authority received hundreds of notifications, in particular concerning the receipt of unsolicited commercial communications made without the consent of the data subjects or despite their registration in the public register of objections. Furthermore, irregularities in data processing in connection with competitions were also complained about. In addition, incorrect and non-transparent information on data processing was provided in Apps provided by the Company and invalid methods of consent were used. In some cases, paper forms requesting one single consent were used for various purposes, including marketing. Furthermore, data was kept longer than necessary and thus violated deletion periods. 

For these violations, the telecommunications company received a fine of EUR 27.8 million. Among other things, the fine was imposed for: lack of consent for marketing activities (telemarketing and cold calling), addressing of data subjects who asked not to be contacted with marketing offers, invalid consents collected in TIM apps, lack of appropriate security measures to protect personal data (including incorrect exchange of blacklists with call centres), lack of clear data retention periods. The supervisory authority also imposed 20 corrective measures on TIM, prohibiting the use of personal data for marketing purposes from those who had refused to receive promotional calls from the call centres.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9256486
